model,unfairness_metric,unfairness_weight,iteration,unfairness,kappa
GaussianNB,overall_accuracy_equality,0,67,0.12476348157070832,0.47841859685895094
GaussianNB,overall_accuracy_equality,0,68,0.1349633261635304,0.4617854555614236
GaussianNB,overall_accuracy_equality,0,69,0.1218169467079449,0.48150463745037925
GaussianNB,overall_accuracy_equality,0,70,0.13362639288200878,0.4634530142395352
GaussianNB,overall_accuracy_equality,0,71,0.1389867233065652,0.45544807377701274
GaussianNB,overall_accuracy_equality,0,72,0.1252975331155956,0.4797029835645391
GaussianNB,overall_accuracy_equality,0,73,0.13969718550649016,0.4599050553617389
GaussianNB,overall_accuracy_equality,0,74,0.123995192607886,0.47974219408613034
GaussianNB,overall_accuracy_equality,0,75,0.12370907891582039,0.47697232783001875
GaussianNB,overall_accuracy_equality,0,76,0.13039687664938443,0.46706710053176237
GaussianNB,overall_accuracy_equality,0,77,0.12435821870399469,0.48238937578907226
GaussianNB,overall_accuracy_equality,0,78,0.12371015074379146,0.48095870160181814
GaussianNB,overall_accuracy_equality,0,79,0.12672727649123802,0.47864048940634374
GaussianNB,overall_accuracy_equality,0,80,0.1319876576928284,0.4625450731968521
GaussianNB,overall_accuracy_equality,0,81,0.1235450205606407,0.4795054845137907
GaussianNB,overall_accuracy_equality,0,82,0.12984870687912287,0.46799528773429344
GaussianNB,overall_accuracy_equality,0,83,0.1327001528942359,0.46388237141910554
GaussianNB,overall_accuracy_equality,0,84,0.12487311448220456,0.48075515193943597
GaussianNB,overall_accuracy_equality,0,85,0.13051794828137686,0.46158345216266666
GaussianNB,overall_accuracy_equality,0,86,0.12290054853076202,0.480326315396326
GaussianNB,overall_accuracy_equality,0,87,0.13932758299187606,0.4508827406529724
GaussianNB,overall_accuracy_equality,0,88,0.12427757201812015,0.48097907065774903
GaussianNB,overall_accuracy_equality,0,89,0.12270872133499103,0.4775044763265262
GaussianNB,overall_accuracy_equality,0,90,0.13587307248776592,0.45572124463619845
GaussianNB,overall_accuracy_equality,0,91,0.12482051282051282,0.4748621099707333
GaussianNB,overall_accuracy_equality,0,92,0.12490384615384617,0.47965783643909293
GaussianNB,overall_accuracy_equality,0,93,0.12499699716219026,0.4801985885917249
GaussianNB,overall_accuracy_equality,0,94,0.14071527462866754,0.4541087869671572
GaussianNB,overall_accuracy_equality,0,95,0.1244511034461761,0.4759298247121465
GaussianNB,overall_accuracy_equality,0,96,0.12673161226034024,0.4720838479400191
GaussianNB,overall_accuracy_equality,0,97,0.12275158453506205,0.4819483476878227
GaussianNB,overall_accuracy_equality,0,98,0.0927959150251565,0.39296368013782224
GaussianNB,overall_accuracy_equality,0,99,0.15043298090890522,0.45333231696724646
GaussianNB,overall_accuracy_equality,0,100,0.1251318266193073,0.4770140031697293
GaussianNB,overall_accuracy_equality,1,1,0.12411039411582822,0.4797254265317923
GaussianNB,overall_accuracy_equality,1,2,0.12404457725738816,0.48256792673897997
GaussianNB,overall_accuracy_equality,1,3,0.12898781718314437,0.46214237723680923
GaussianNB,overall_accuracy_equality,1,4,0.12319843873684935,0.4788459470917211
GaussianNB,overall_accuracy_equality,1,5,0.12411040795237346,0.4769997271069982
GaussianNB,overall_accuracy_equality,1,6,0.12347750668203081,0.480801725679463
GaussianNB,overall_accuracy_equality,1,7,0.12520700412252278,0.47944596138713325
GaussianNB,overall_accuracy_equality,1,8,0.1231271571897393,0.4798355319280664
GaussianNB,overall_accuracy_equality,1,9,0.1383977723357987,0.45194628116753743
GaussianNB,overall_accuracy_equality,1,10,0.1240078625239445,0.47750548076832167
