model,unfairness_metric,unfairness_weight,iteration,unfairness,kappa
GaussianNB,overall_accuracy_equality,0,1,0.13804945054945056,0.23980377655642154
GaussianNB,overall_accuracy_equality,0,2,0.1948773448773449,0.3275244313693397
GaussianNB,overall_accuracy_equality,0,3,0.1260482572982573,0.31735956516743224
GaussianNB,overall_accuracy_equality,0,4,0.19604441357015728,0.25218943055714604
GaussianNB,overall_accuracy_equality,0,5,0.15495169082125604,0.42872665951934247
GaussianNB,overall_accuracy_equality,0,6,0.1786984754376059,0.44805334666953656
GaussianNB,overall_accuracy_equality,0,7,0.14447802197802195,0.299775674082566
GaussianNB,overall_accuracy_equality,0,8,0.11402337915495811,0.3269419902001705
GaussianNB,overall_accuracy_equality,0,9,0.15076771055031923,0.3005600428963645
GaussianNB,overall_accuracy_equality,0,10,0.11741247882552228,0.28968692017560754
GaussianNB,overall_accuracy_equality,0,11,0.18050844083452783,0.31704249476189506
GaussianNB,overall_accuracy_equality,0,12,0.21236111111111114,0.3749776997957195
GaussianNB,overall_accuracy_equality,0,13,0.21230158730158732,0.39182613724947823
GaussianNB,overall_accuracy_equality,0,14,0.10444143215882348,0.2703816361050244
GaussianNB,overall_accuracy_equality,0,15,0.27237227345923,0.4189051397933644
GaussianNB,overall_accuracy_equality,0,16,0.17853535353535355,0.3593339464339502
GaussianNB,overall_accuracy_equality,0,17,0.051013986013986046,0.2777452580705262
GaussianNB,overall_accuracy_equality,0,18,0.06751725327812283,0.28069427946323544
GaussianNB,overall_accuracy_equality,0,19,0.15028268832616662,0.2925704712104821
GaussianNB,overall_accuracy_equality,0,20,0.10141941391941392,0.2892613146551724
GaussianNB,overall_accuracy_equality,0,21,0.11144859431186666,0.38638316564637043
GaussianNB,overall_accuracy_equality,0,22,0.10453643578643579,0.38829958436718065
GaussianNB,overall_accuracy_equality,0,23,0.17130152456239414,0.44269171678171615
GaussianNB,overall_accuracy_equality,0,24,0.08952020202020203,0.41638857909323895
GaussianNB,overall_accuracy_equality,0,25,0.1851981351981352,0.40496614159497785
GaussianNB,overall_accuracy_equality,0,26,0.1039194139194139,0.41499475801992103
GaussianNB,overall_accuracy_equality,0,27,0.21716936445197316,0.4266613891063327
GaussianNB,overall_accuracy_equality,0,28,0.14168391994478952,0.38776270798272683
GaussianNB,overall_accuracy_equality,0,29,0.10748626373626374,0.40105386359506745
GaussianNB,overall_accuracy_equality,0,30,0.0772939017504235,0.43820526409477734
GaussianNB,overall_accuracy_equality,0,31,0.13020382395382393,0.32135219084960664
GaussianNB,overall_accuracy_equality,0,32,0.10250000000000001,0.3744300239989895
GaussianNB,overall_accuracy_equality,0,33,0.11237373737373738,0.389172947746075
GaussianNB,overall_accuracy_equality,0,34,0.16708437761069342,0.41229147465307664
GaussianNB,overall_accuracy_equality,0,35,0.24859856930509103,0.3418117388506589
GaussianNB,overall_accuracy_equality,0,36,0.07456782348086699,0.4462734256579854
GaussianNB,overall_accuracy_equality,0,37,0.13558180949485296,0.40519676330954396
GaussianNB,overall_accuracy_equality,0,38,0.10745263032162344,0.47774581840258057
GaussianNB,overall_accuracy_equality,0,39,0.1815455377955378,0.5056008910929211
GaussianNB,overall_accuracy_equality,0,40,0.09521480331262938,0.29386428544935284
GaussianNB,overall_accuracy_equality,0,41,0.09714466089466092,0.3902100533195735
GaussianNB,overall_accuracy_equality,0,42,0.1003787878787879,0.35414550533265615
GaussianNB,overall_accuracy_equality,0,43,0.2162408873805933,0.3259533304934216
GaussianNB,overall_accuracy_equality,0,44,0.08881317354143442,0.3425501072912386
GaussianNB,overall_accuracy_equality,0,45,0.24025793650793648,0.30457510737169935
GaussianNB,overall_accuracy_equality,0,46,0.07268500219587176,0.4088976818254232
GaussianNB,overall_accuracy_equality,0,47,0.24945565907522427,0.3867058361199713
GaussianNB,overall_accuracy_equality,0,48,0.09742965367965367,0.446720607506978
GaussianNB,overall_accuracy_equality,0,49,0.18194444444444444,0.3359885569553762
GaussianNB,overall_accuracy_equality,0,50,0.1289253827154285,0.28916999861629245
GaussianNB,overall_accuracy_equality,0,51,0.10824537781059518,0.39982427466392134
GaussianNB,overall_accuracy_equality,0,52,0.15985671936758894,0.340878534127962
GaussianNB,overall_accuracy_equality,0,53,0.20175230566534919,0.4456341460581923
GaussianNB,overall_accuracy_equality,0,54,0.08917818292818291,0.44592205309001354
GaussianNB,overall_accuracy_equality,0,55,0.15211580086580087,0.3148647958811604
GaussianNB,overall_accuracy_equality,0,56,0.11742424242424243,0.40027214398848177
GaussianNB,overall_accuracy_equality,0,57,0.03461404579825633,0.35877698457135754
GaussianNB,overall_accuracy_equality,0,58,0.08074985443406499,0.31713715462918673
GaussianNB,overall_accuracy_equality,0,59,0.1282327568708643,0.32915330161888356
GaussianNB,overall_accuracy_equality,0,60,0.2718392115131245,0.2802400583625979
GaussianNB,overall_accuracy_equality,0,61,0.13799847495499667,0.45647542997048296
GaussianNB,overall_accuracy_equality,0,62,0.09429779158040025,0.4360780818724006
GaussianNB,overall_accuracy_equality,0,63,0.21899567823480867,0.37794031307681986
GaussianNB,overall_accuracy_equality,0,64,0.13538198643461802,0.4187066767171893
GaussianNB,overall_accuracy_equality,0,65,0.1399095522300367,0.36914897221757614
GaussianNB,overall_accuracy_equality,0,66,0.09709030100334451,0.4025469168038355
GaussianNB,overall_accuracy_equality,0,67,0.17919580419580422,0.2703519925822966
GaussianNB,overall_accuracy_equality,0,68,0.16492867036345296,0.3699163486194026
GaussianNB,overall_accuracy_equality,0,69,0.07910353535353537,0.46534208763124424
