model,unfairness_metric,unfairness_weight,iteration,unfairness,kappa
GaussianNB,overall_accuracy_equality,0,39,0.09044140463000111,0.19030966465464916
GaussianNB,overall_accuracy_equality,0,40,0.11920873947811148,0.21992499106115443
GaussianNB,overall_accuracy_equality,0,41,0.09190342765869473,0.22123220717291667
GaussianNB,overall_accuracy_equality,0,42,0.09554313895690036,0.1910915968689263
GaussianNB,overall_accuracy_equality,0,43,0.10994071492674595,0.22269296043840367
GaussianNB,overall_accuracy_equality,0,44,0.040349107434317355,0.21356454159366356
GaussianNB,overall_accuracy_equality,0,45,0.10998540734883175,0.2149233581738678
GaussianNB,overall_accuracy_equality,0,46,0.057046519460707074,0.2231968681200822
GaussianNB,overall_accuracy_equality,0,47,0.12800406591882563,0.24337190670087075
GaussianNB,overall_accuracy_equality,0,48,0.10979665783250828,0.24572541404718198
GaussianNB,overall_accuracy_equality,0,49,0.126814246085004,0.2013188781619792
GaussianNB,overall_accuracy_equality,0,50,0.07596485944096158,0.24610670118988542
GaussianNB,overall_accuracy_equality,0,51,0.12385483010483013,0.18728820515291866
GaussianNB,overall_accuracy_equality,0,52,0.06920955319516672,0.27584078302229964
GaussianNB,overall_accuracy_equality,0,53,0.1158894566250343,0.16753077770149433
GaussianNB,overall_accuracy_equality,0,54,0.14862015952748914,0.23079823849550382
GaussianNB,overall_accuracy_equality,0,55,0.1405046389485585,0.19665385457028242
GaussianNB,overall_accuracy_equality,0,56,0.08581793635091436,0.21478319615195152
GaussianNB,overall_accuracy_equality,0,57,0.06323309006616953,0.2066353314794888
GaussianNB,overall_accuracy_equality,0,58,0.0847525743707094,0.2859686810261815
GaussianNB,overall_accuracy_equality,0,59,0.06997280055896103,0.19651658918334777
GaussianNB,overall_accuracy_equality,0,60,0.09799180601522417,0.2871951818786599
GaussianNB,overall_accuracy_equality,0,61,0.11470779656672163,0.2785722783637591
GaussianNB,overall_accuracy_equality,0,62,0.0820271979363255,0.27831776547967874
GaussianNB,overall_accuracy_equality,0,63,0.1374565240490635,0.27190404508477634
GaussianNB,overall_accuracy_equality,0,64,0.13463269928956204,0.19973599213196738
GaussianNB,overall_accuracy_equality,0,65,0.11265571405362243,0.2079019754253119
GaussianNB,overall_accuracy_equality,0,66,0.1447308011452748,0.25681154294496933
GaussianNB,overall_accuracy_equality,0,67,0.08055078431295926,0.27671839525932407
GaussianNB,overall_accuracy_equality,0,68,0.08059429762950546,0.23100916206421376
GaussianNB,overall_accuracy_equality,0,69,0.1287042635827323,0.25311825013152467
GaussianNB,overall_accuracy_equality,0,70,0.11303921062111197,0.21289451864457296
GaussianNB,overall_accuracy_equality,0,71,0.08848858595694035,0.23611031725901027
GaussianNB,overall_accuracy_equality,0,72,0.13539449857119357,0.19538254385773213
GaussianNB,overall_accuracy_equality,0,73,0.1551372256378565,0.23083738633697176
GaussianNB,overall_accuracy_equality,0,74,0.050204164149730085,0.22877669088597397
GaussianNB,overall_accuracy_equality,0,75,0.0823569009549189,0.19631773069206823
GaussianNB,overall_accuracy_equality,0,76,0.06884527176446609,0.18886074502505912
GaussianNB,overall_accuracy_equality,0,77,0.09380832184750951,0.2678070030598695
GaussianNB,overall_accuracy_equality,0,78,0.10189083430545641,0.2135435305571528
GaussianNB,overall_accuracy_equality,0,79,0.07929408501490884,0.2654590206864441
GaussianNB,overall_accuracy_equality,0,80,0.17216150520360754,0.18694951745966737
GaussianNB,overall_accuracy_equality,0,81,0.08340595900940728,0.23566701400473825
GaussianNB,overall_accuracy_equality,0,82,0.028871827543166223,0.2534441450592899
GaussianNB,overall_accuracy_equality,0,83,0.11903319591056664,0.186959324607622
GaussianNB,overall_accuracy_equality,0,84,0.07699507776738898,0.22814040063591337
GaussianNB,overall_accuracy_equality,0,85,0.05238733155352149,0.23951928378735052
GaussianNB,overall_accuracy_equality,0,86,0.11023892773892771,0.28808984957102046
GaussianNB,overall_accuracy_equality,0,87,0.10358263389960193,0.1294763412922712
GaussianNB,overall_accuracy_equality,0,88,0.14621428149909163,0.28309800992378753
GaussianNB,overall_accuracy_equality,0,89,0.17142822474653768,0.24336953679411308
GaussianNB,overall_accuracy_equality,0,90,0.10631857661191123,0.24829408028851288
GaussianNB,overall_accuracy_equality,0,91,0.17866678576546524,0.2061015104971903
GaussianNB,overall_accuracy_equality,0,92,0.09007691119262856,0.24935307852107502
GaussianNB,overall_accuracy_equality,0,93,0.11587841419929268,0.28275774778075136
GaussianNB,overall_accuracy_equality,0,94,0.1621811150693036,0.27931096065283667
GaussianNB,overall_accuracy_equality,0,95,0.08432754122891858,0.2134128518109602
GaussianNB,overall_accuracy_equality,0,96,0.06342848514919258,0.243897713294469
GaussianNB,overall_accuracy_equality,0,97,0.0939226685516202,0.21653581090350024
GaussianNB,overall_accuracy_equality,0,98,0.07681470333484747,0.22340803065323359
GaussianNB,overall_accuracy_equality,0,99,0.08576507409573031,0.24861568976753917
GaussianNB,overall_accuracy_equality,0,100,0.07812018601564699,0.291885356779078
GaussianNB,overall_accuracy_equality,1,1,0.11082931908274372,0.2263634788314554
GaussianNB,overall_accuracy_equality,1,2,0.17286155202821873,0.2541656054305056
GaussianNB,overall_accuracy_equality,1,3,0.09241503048456094,0.2596269396940568
GaussianNB,overall_accuracy_equality,1,4,0.10950392708267895,0.20401128263502888
GaussianNB,overall_accuracy_equality,1,5,0.10238703827905705,0.2950745885661199
GaussianNB,overall_accuracy_equality,1,6,0.07817821807967171,0.20399593125788085
GaussianNB,overall_accuracy_equality,1,7,0.0973711912713629,0.2701796108932061
GaussianNB,overall_accuracy_equality,1,8,0.09386734850758832,0.2781328862383833
GaussianNB,overall_accuracy_equality,1,9,0.06622128457571494,0.2643833295260144
GaussianNB,overall_accuracy_equality,1,10,0.0638782275896497,0.259272117611035
