model,unfairness_metric,unfairness_weight,iteration,unfairness,kappa,protected_column_selected_prop
GaussianNB,overall_accuracy_equality,0,63,0.10051011521550147,0.3477548366362323,0.25
GaussianNB,overall_accuracy_equality,0,64,0.01807204927424477,0.3189839467392228,0.75
GaussianNB,overall_accuracy_equality,0,65,0.052056512847868434,0.3436332487331353,0.5
GaussianNB,overall_accuracy_equality,0,66,0.0832706456141051,0.32228644370702275,0.5
GaussianNB,overall_accuracy_equality,0,67,0.0381150907352949,0.3182153274553179,0.5
GaussianNB,overall_accuracy_equality,0,68,0.09355089355089354,0.3454787830207916,0.5
GaussianNB,overall_accuracy_equality,0,69,0.08570546925508754,0.3456987785054711,0.75
GaussianNB,overall_accuracy_equality,0,70,0.049295625648471925,0.38630346076412,1.0
GaussianNB,overall_accuracy_equality,0,71,0.06882003322175143,0.3018175122829646,0.25
GaussianNB,overall_accuracy_equality,0,72,0.100176240068367,0.339526763668748,0.5
GaussianNB,overall_accuracy_equality,0,73,0.11109383581161916,0.2879442435903573,0.25
GaussianNB,overall_accuracy_equality,0,74,0.030178066448018737,0.3350768836008566,0.75
GaussianNB,overall_accuracy_equality,0,75,0.0552499778016797,0.3323978902033633,0.5
GaussianNB,overall_accuracy_equality,0,76,0.05198863128741177,0.3386230732470853,0.5
GaussianNB,overall_accuracy_equality,0,77,0.10642538921202926,0.27614902849879924,0.75
GaussianNB,overall_accuracy_equality,0,78,0.0741898641953049,0.3766186890410791,0.5
GaussianNB,overall_accuracy_equality,0,79,0.09833912417454246,0.3160325616269604,0.75
GaussianNB,overall_accuracy_equality,0,80,0.02879710561371779,0.3240981379701789,0.75
GaussianNB,overall_accuracy_equality,0,81,0.056052152119313525,0.3597091768501782,0.5
GaussianNB,overall_accuracy_equality,0,82,0.06922763760679546,0.3032336806542332,0.5
GaussianNB,overall_accuracy_equality,0,83,0.04918099767551085,0.3846215553846094,0.75
GaussianNB,overall_accuracy_equality,0,84,0.0404321569870259,0.3123375535916627,0.75
GaussianNB,overall_accuracy_equality,0,85,0.059719974672834235,0.3252220528857467,0.25
GaussianNB,overall_accuracy_equality,0,86,0.04610345715514372,0.3729259168211051,0.5
GaussianNB,overall_accuracy_equality,0,87,0.04338644103195838,0.3713815994403775,0.5
GaussianNB,overall_accuracy_equality,0,88,0.016254659868923767,0.3402349727409909,0.5
GaussianNB,overall_accuracy_equality,0,89,0.07966719826348523,0.3291995737830468,0.5
GaussianNB,overall_accuracy_equality,0,90,0.059541293557554685,0.3051623907441165,0.75
GaussianNB,overall_accuracy_equality,0,91,0.04543233300329266,0.33259328648483744,0.75
GaussianNB,overall_accuracy_equality,0,92,0.1448529185009274,0.3273671211614881,0.75
GaussianNB,overall_accuracy_equality,0,93,0.019641321244934368,0.30056231608005834,0.5
GaussianNB,overall_accuracy_equality,0,94,0.032563793614846265,0.36021779206146354,0.75
GaussianNB,overall_accuracy_equality,0,95,0.08795545311538687,0.3331260485344009,0.75
GaussianNB,overall_accuracy_equality,0,96,0.06187959058690709,0.3380989700016541,0.75
GaussianNB,overall_accuracy_equality,0,97,0.06270581336303603,0.3155167920748229,0.5
GaussianNB,overall_accuracy_equality,0,98,0.07427502859550902,0.2898111201186304,0.75
GaussianNB,overall_accuracy_equality,0,99,0.040564182691377036,0.3212847543214268,0.25
GaussianNB,overall_accuracy_equality,0,100,0.0514702132219019,0.3088782392069326,0.75
GaussianNB,overall_accuracy_equality,1,1,0.05187780895667987,0.3092856146925685,0.75
GaussianNB,overall_accuracy_equality,1,2,0.07851131887814143,0.28184016201088546,1.0
GaussianNB,overall_accuracy_equality,1,3,0.04874590586194533,0.31039850330168794,0.25
GaussianNB,overall_accuracy_equality,1,4,0.11526234610291684,0.29304271958197003,0.25
GaussianNB,overall_accuracy_equality,1,5,0.04968254645977704,0.3767380992189776,1.0
GaussianNB,overall_accuracy_equality,1,6,0.06826539598955259,0.33203210937702005,0.5
GaussianNB,overall_accuracy_equality,1,7,0.11739841898335752,0.32142761304932155,0.25
GaussianNB,overall_accuracy_equality,1,8,0.04177359922545548,0.3215081321523936,0.5
GaussianNB,overall_accuracy_equality,1,9,0.1051206013671814,0.316941261078144,0.25
GaussianNB,overall_accuracy_equality,1,10,0.030942157462701486,0.3547668101757273,0.5
GaussianNB,overall_accuracy_equality,1,11,0.08049204527576806,0.3037991074715408,0.75
GaussianNB,overall_accuracy_equality,1,12,0.08183480677996785,0.3336450819192761,0.0
GaussianNB,overall_accuracy_equality,1,13,0.0639360347675712,0.3362783060414657,0.75
GaussianNB,overall_accuracy_equality,1,14,0.07369767547422082,0.3258797987597113,0.5
GaussianNB,overall_accuracy_equality,1,15,0.04792640325986144,0.36122909065370334,1.0
GaussianNB,overall_accuracy_equality,1,16,0.05734933794165356,0.34531229926937024,0.75
GaussianNB,overall_accuracy_equality,1,17,0.11023051023051024,0.3615043124093293,0.5
GaussianNB,overall_accuracy_equality,1,18,0.08750095557670473,0.3182924639592074,0.25
GaussianNB,overall_accuracy_equality,1,19,0.04573684989790641,0.349891658898294,0.25
GaussianNB,overall_accuracy_equality,1,20,0.05811002887566485,0.37969116428529787,0.25
GaussianNB,overall_accuracy_equality,1,21,0.025235414980039783,0.3196327115864596,0.25
GaussianNB,overall_accuracy_equality,1,22,0.07722319872893171,0.341909265506172,0.75
GaussianNB,overall_accuracy_equality,1,23,0.051297206893861434,0.3022453877508626,0.25
GaussianNB,overall_accuracy_equality,1,24,0.0931136480560322,0.30536168505688405,0.25
GaussianNB,overall_accuracy_equality,1,25,0.08291964570323287,0.3332097233032083,0.75
GaussianNB,overall_accuracy_equality,1,26,0.04140464221431095,0.3284781920627201,0.5
GaussianNB,overall_accuracy_equality,1,27,0.026743295546261647,0.35519805570789753,0.25
GaussianNB,overall_accuracy_equality,1,28,0.04003401349725785,0.3334099646662221,0.5
GaussianNB,overall_accuracy_equality,1,29,0.042923170210955125,0.3568594527576697,0.25
GaussianNB,overall_accuracy_equality,1,30,0.03170971644229284,0.35865779239162,0.75
GaussianNB,overall_accuracy_equality,1,31,0.10452515786393736,0.34978611521144953,0.5
GaussianNB,overall_accuracy_equality,1,32,0.08460122262911374,0.2763906629595218,0.75
GaussianNB,overall_accuracy_equality,1,33,0.07062747517493098,0.3268963365961174,0.5
GaussianNB,overall_accuracy_equality,1,34,0.07318722736347377,0.3048587699760478,0.5
GaussianNB,overall_accuracy_equality,1,35,0.058307195452758975,0.3410906854673534,0.25
GaussianNB,overall_accuracy_equality,1,36,0.06317190297108538,0.3566663558560853,0.5
GaussianNB,overall_accuracy_equality,1,37,0.08791977211530833,0.3068145874470413,0.25
GaussianNB,overall_accuracy_equality,1,38,0.05568138551826163,0.3664239583405099,0.25
GaussianNB,overall_accuracy_equality,1,39,0.09174488324205736,0.28979116929459725,0.5
GaussianNB,overall_accuracy_equality,1,40,0.03969580890997188,0.2964837574563521,0.25
GaussianNB,overall_accuracy_equality,1,41,0.07094893470929534,0.3384356776200401,0.25
GaussianNB,overall_accuracy_equality,1,42,0.06534743363990586,0.3530148302818842,0.5
GaussianNB,overall_accuracy_equality,1,43,0.04912605872716591,0.3432123377715837,0.5
GaussianNB,overall_accuracy_equality,1,44,0.04288616395050207,0.33879246360559595,1.0
GaussianNB,overall_accuracy_equality,1,45,0.037127429146337536,0.3050284219713154,0.25
GaussianNB,overall_accuracy_equality,1,46,0.10292182266386572,0.2996768454304826,0.0
GaussianNB,overall_accuracy_equality,1,47,0.03882958665608746,0.34330541069001363,0.5
GaussianNB,overall_accuracy_equality,1,48,0.03016083917376819,0.3176742908366992,0.5
GaussianNB,overall_accuracy_equality,1,49,0.06663126691301513,0.2926606671680527,0.5
GaussianNB,overall_accuracy_equality,1,50,0.07972254810409185,0.35240131589691515,0.75
GaussianNB,overall_accuracy_equality,1,51,0.06079873515694406,0.3496233088972423,0.75
GaussianNB,overall_accuracy_equality,1,52,0.0409578897712819,0.31520386126446664,0.75
GaussianNB,overall_accuracy_equality,1,53,0.04124813034911254,0.2918211431550251,1.0
GaussianNB,overall_accuracy_equality,1,54,0.0952048856804898,0.35345050279738705,0.5
GaussianNB,overall_accuracy_equality,1,55,0.08281006758111427,0.4012538480110596,0.75
GaussianNB,overall_accuracy_equality,1,56,0.0586190908816781,0.37768146619087817,0.5
GaussianNB,overall_accuracy_equality,1,57,0.03006084027496542,0.3469648478046074,0.5
GaussianNB,overall_accuracy_equality,1,58,0.1228204777992554,0.33190931592758977,0.5
GaussianNB,overall_accuracy_equality,1,59,0.0903853765667659,0.29861835220564104,0.5
GaussianNB,overall_accuracy_equality,1,60,0.10354132293562013,0.3464450611315219,0.75
GaussianNB,overall_accuracy_equality,1,61,0.0772434915487264,0.35591524668530405,0.25
GaussianNB,overall_accuracy_equality,1,62,0.00848887258661693,0.36198531423495545,0.75
GaussianNB,overall_accuracy_equality,1,63,0.06641737167130721,0.3503529115792656,0.0
GaussianNB,overall_accuracy_equality,1,64,0.02850015571409112,0.3366677567230563,0.5
GaussianNB,overall_accuracy_equality,1,65,0.04296996204462439,0.3317265255086938,0.5
GaussianNB,overall_accuracy_equality,1,66,0.10431911678142253,0.3094490414381417,1.0
GaussianNB,overall_accuracy_equality,1,67,0.04133255303275488,0.3447031327303273,0.5
GaussianNB,overall_accuracy_equality,1,68,0.12335858585858585,0.3180441872497154,0.5
GaussianNB,overall_accuracy_equality,1,69,0.06756692072770318,0.3310399229193667,0.5
GaussianNB,overall_accuracy_equality,1,70,0.043663195168832165,0.34004297144069084,0.75
GaussianNB,overall_accuracy_equality,1,71,0.0668427982681418,0.3795635106658992,0.75
GaussianNB,overall_accuracy_equality,1,72,0.04665826917671054,0.3482756748156509,0.0
GaussianNB,overall_accuracy_equality,1,73,0.10026671793920554,0.3158692065950194,0.0
GaussianNB,overall_accuracy_equality,1,74,0.04107370631668461,0.3210439604177244,0.0
GaussianNB,overall_accuracy_equality,1,75,0.03914807685329599,0.3028136626078445,0.75
GaussianNB,overall_accuracy_equality,1,76,0.06283704100777268,0.31400994829796425,0.5
GaussianNB,overall_accuracy_equality,1,77,0.05890260979181719,0.2598705586204516,0.25
GaussianNB,overall_accuracy_equality,1,78,0.0591220708654848,0.3677115357434057,0.5
GaussianNB,overall_accuracy_equality,1,79,0.11980349033952604,0.3225529973390867,0.25
GaussianNB,overall_accuracy_equality,1,80,0.04492182260671598,0.304725360135752,0.25
GaussianNB,overall_accuracy_equality,1,81,0.05286420153466317,0.3024988479591083,0.5
GaussianNB,overall_accuracy_equality,1,82,0.07124611339188372,0.3182008081451356,0.75
GaussianNB,overall_accuracy_equality,1,83,0.03893132377572645,0.3738749761066328,0.75
GaussianNB,overall_accuracy_equality,1,84,0.09189252809358106,0.3331057428975497,0.0
GaussianNB,overall_accuracy_equality,1,85,0.06341573270763988,0.31375872277519784,0.5
GaussianNB,overall_accuracy_equality,1,86,0.02586880731185576,0.32841154982139903,0.25
GaussianNB,overall_accuracy_equality,1,87,0.06754931998074283,0.3337081043932671,0.75
GaussianNB,overall_accuracy_equality,1,88,0.056174050012134435,0.3449918343165379,0.75
GaussianNB,overall_accuracy_equality,1,89,0.08731156404128428,0.3110886146803285,0.5
GaussianNB,overall_accuracy_equality,1,90,0.07642852379892222,0.2926396528033095,0.25
GaussianNB,overall_accuracy_equality,1,91,0.06964218620369639,0.3415565575760189,0.5
GaussianNB,overall_accuracy_equality,1,92,0.06822616584332739,0.33149746590878004,0.75
GaussianNB,overall_accuracy_equality,1,93,0.058321178991036726,0.3650078634120783,0.25
GaussianNB,overall_accuracy_equality,1,94,0.07030567427384353,0.3353320759569838,0.75
GaussianNB,overall_accuracy_equality,1,95,0.06417168937335882,0.2723190549932637,0.25
GaussianNB,overall_accuracy_equality,1,96,0.021618114563597024,0.329375713682138,0.75
GaussianNB,overall_accuracy_equality,1,97,0.04825344777997962,0.3517624745425914,0.5
GaussianNB,overall_accuracy_equality,1,98,0.057138903175737436,0.3739407569380023,0.5
GaussianNB,overall_accuracy_equality,1,99,0.0936492021436774,0.2599754097548311,0.5
GaussianNB,overall_accuracy_equality,1,100,0.06918745570530074,0.3491826063578071,0.25
GaussianNB,overall_accuracy_equality,2,1,0.06459889347714179,0.32477059342804565,0.5
GaussianNB,overall_accuracy_equality,2,2,0.07078813789908857,0.31284457462948634,0.75
GaussianNB,overall_accuracy_equality,2,3,0.04876040111981464,0.29575283231438354,1.0
GaussianNB,overall_accuracy_equality,2,4,0.03813700759799429,0.3581466121555035,0.25
GaussianNB,overall_accuracy_equality,2,5,0.0573859201855797,0.3660052024074513,0.25
GaussianNB,overall_accuracy_equality,2,6,0.0674248110894615,0.3609114988247538,0.25
GaussianNB,overall_accuracy_equality,2,7,0.10331632529411984,0.30952444136374824,0.0
GaussianNB,overall_accuracy_equality,2,8,0.03330868780589508,0.3235248720910885,0.5
GaussianNB,overall_accuracy_equality,2,9,0.10198029080980517,0.2913160784425716,0.5
GaussianNB,overall_accuracy_equality,2,10,0.02911592295370602,0.3554665744504798,0.25
GaussianNB,overall_accuracy_equality,2,11,0.08330728150307035,0.3373764535934897,0.75
GaussianNB,overall_accuracy_equality,2,12,0.0453624321968244,0.31601096220459324,0.0
GaussianNB,overall_accuracy_equality,2,13,0.0554089842539342,0.3191583848571071,0.0
GaussianNB,overall_accuracy_equality,2,14,0.0506791498092595,0.3201745720392715,0.5
GaussianNB,overall_accuracy_equality,2,15,0.09027605524513896,0.3531416879390381,0.75
GaussianNB,overall_accuracy_equality,2,16,0.052962716251159,0.3392478946143622,0.5
GaussianNB,overall_accuracy_equality,2,17,0.09951113701113704,0.3312784971338177,0.75
GaussianNB,overall_accuracy_equality,2,18,0.05706821850245824,0.2979461501767764,0.5
GaussianNB,overall_accuracy_equality,2,19,0.0976145218106251,0.3214130325545552,0.25
GaussianNB,overall_accuracy_equality,2,20,0.07515631523686825,0.3658631934790551,0.25
GaussianNB,overall_accuracy_equality,2,21,0.03968203169959314,0.2989609659127396,0.25
GaussianNB,overall_accuracy_equality,2,22,0.03855414144513542,0.32274596502429764,0.5
GaussianNB,overall_accuracy_equality,2,23,0.019599435385528302,0.3417192806962329,0.0
GaussianNB,overall_accuracy_equality,2,24,0.1242834753853588,0.32250813152778224,0.0
GaussianNB,overall_accuracy_equality,2,25,0.04708779083248482,0.36875749558475,0.5
