model,unfairness_metric,unfairness_weight,iteration,unfairness,auc,protected_column_selected_prop
GaussianNB,overall_accuracy_equality,0,63,0.12569801229055175,0.6497089627572299,0.5
GaussianNB,overall_accuracy_equality,0,64,0.11285239625925902,0.6061259623242091,0.5
GaussianNB,overall_accuracy_equality,0,65,0.12994643485044077,0.6183150809112432,0.5
GaussianNB,overall_accuracy_equality,0,66,0.12007474833132725,0.6286214398351548,0.25
GaussianNB,overall_accuracy_equality,0,67,0.0607999072665176,0.6609318961013877,0.25
GaussianNB,overall_accuracy_equality,0,68,0.08676898157933174,0.6100657352430446,0.25
GaussianNB,overall_accuracy_equality,0,69,0.12737417204955154,0.6300796206565673,0.0
GaussianNB,overall_accuracy_equality,0,70,0.07794655160628652,0.6010507160711127,0.5
GaussianNB,overall_accuracy_equality,0,71,0.07562682570593963,0.628757977205022,0.0
GaussianNB,overall_accuracy_equality,0,72,0.1434156440923391,0.6141311708792044,0.5
GaussianNB,overall_accuracy_equality,0,73,0.11378465172174616,0.6195092854765585,0.5
GaussianNB,overall_accuracy_equality,0,74,0.11289807381281786,0.6231136508496384,1.0
GaussianNB,overall_accuracy_equality,0,75,0.11765798810893746,0.6105669367109727,0.25
GaussianNB,overall_accuracy_equality,0,76,0.06350760530917121,0.605679694954905,0.5
GaussianNB,overall_accuracy_equality,0,77,0.12297858703751155,0.6123735394634601,0.25
GaussianNB,overall_accuracy_equality,0,78,0.12012976197686392,0.6141122144626416,0.0
GaussianNB,overall_accuracy_equality,0,79,0.09585646999834643,0.6334827873574813,0.0
GaussianNB,overall_accuracy_equality,0,80,0.150822127851572,0.6218742702563322,0.5
GaussianNB,overall_accuracy_equality,0,81,0.09080521502935293,0.635363727041402,0.5
GaussianNB,overall_accuracy_equality,0,82,0.045039699049996496,0.6137597334354146,0.5
GaussianNB,overall_accuracy_equality,0,83,0.07347887165375519,0.6473957193028921,0.25
GaussianNB,overall_accuracy_equality,0,84,0.04961870699856971,0.6335792043803157,0.5
GaussianNB,overall_accuracy_equality,0,85,0.08732821637426903,0.6136340489083081,0.25
GaussianNB,overall_accuracy_equality,0,86,0.06332750582750585,0.6698158955718398,0.5
GaussianNB,overall_accuracy_equality,0,87,0.09315296159545529,0.6534674021455285,0.25
GaussianNB,overall_accuracy_equality,0,88,0.09931151829886008,0.6423452607827608,0.25
GaussianNB,overall_accuracy_equality,0,89,0.0966753413094437,0.6178724580838552,0.25
GaussianNB,overall_accuracy_equality,0,90,0.10765575338689239,0.6235287095138689,0.0
GaussianNB,overall_accuracy_equality,0,91,0.08842969237026597,0.6322565532590885,0.75
GaussianNB,overall_accuracy_equality,0,92,0.10449362281554063,0.6330745552302279,0.5
GaussianNB,overall_accuracy_equality,0,93,0.11021385723726734,0.6444400488339219,0.0
GaussianNB,overall_accuracy_equality,0,94,0.13739201338211707,0.6582741488334425,0.5
GaussianNB,overall_accuracy_equality,0,95,0.12061212528238138,0.6354708201012809,0.5
GaussianNB,overall_accuracy_equality,0,96,0.15427818847410724,0.6157609358060356,0.75
GaussianNB,overall_accuracy_equality,0,97,0.09641072288749526,0.6491006832840838,0.25
GaussianNB,overall_accuracy_equality,0,98,0.05247287258052463,0.6434503329084205,0.25
GaussianNB,overall_accuracy_equality,0,99,0.0857476152672959,0.6414814805907849,0.25
GaussianNB,overall_accuracy_equality,0,100,0.05578507608893146,0.6254044364521136,0.0
GaussianNB,overall_accuracy_equality,1,1,0.07525942094435245,0.5956701492269018,0.0
GaussianNB,overall_accuracy_equality,1,2,0.1517967372134039,0.626607824272543,0.5
GaussianNB,overall_accuracy_equality,1,3,0.0737694357153851,0.6323823601419682,0.25
GaussianNB,overall_accuracy_equality,1,4,0.08804676360436287,0.6052237485135608,0.75
GaussianNB,overall_accuracy_equality,1,5,0.1773219564299377,0.6260729161286418,0.0
GaussianNB,overall_accuracy_equality,1,6,0.09567180353259454,0.5879579231784683,0.0
GaussianNB,overall_accuracy_equality,1,7,0.10496956407282497,0.6263915349506464,0.0
GaussianNB,overall_accuracy_equality,1,8,0.11695168117469915,0.599315254858368,0.25
GaussianNB,overall_accuracy_equality,1,9,0.15535814419532468,0.6398361739569108,0.25
GaussianNB,overall_accuracy_equality,1,10,0.14595517312453163,0.5984433889682047,0.0
GaussianNB,overall_accuracy_equality,1,11,0.09071486241568363,0.6004712503259015,0.75
GaussianNB,overall_accuracy_equality,1,12,0.12255996387289292,0.6209679655354965,0.5
GaussianNB,overall_accuracy_equality,1,13,0.06990578115307748,0.6078719999068626,0.25
GaussianNB,overall_accuracy_equality,1,14,0.11928024450155818,0.6340680849685387,0.25
GaussianNB,overall_accuracy_equality,1,15,0.1443646510780337,0.6272616752489789,0.5
GaussianNB,overall_accuracy_equality,1,16,0.09737138777216832,0.6291563718236903,0.5
GaussianNB,overall_accuracy_equality,1,17,0.16636504833015134,0.6440018904270091,0.25
GaussianNB,overall_accuracy_equality,1,18,0.05170857670857673,0.6381122343102,0.0
GaussianNB,overall_accuracy_equality,1,19,0.07984354508954056,0.6349369526947181,0.0
GaussianNB,overall_accuracy_equality,1,20,0.11458416583416582,0.5922099136273826,0.0
GaussianNB,overall_accuracy_equality,1,21,0.05862690237690238,0.6295158040122402,0.5
GaussianNB,overall_accuracy_equality,1,22,0.11480307999795006,0.6278298084972557,0.5
GaussianNB,overall_accuracy_equality,1,23,0.18456842204899016,0.631740122903916,0.25
GaussianNB,overall_accuracy_equality,1,24,0.09955847399622457,0.6015004863330415,0.0
GaussianNB,overall_accuracy_equality,1,25,0.052697978191399236,0.5882417475240453,0.0
GaussianNB,overall_accuracy_equality,1,26,0.09804651530003644,0.6143005401856008,0.25
GaussianNB,overall_accuracy_equality,1,27,0.14011727939964908,0.5989524214157882,0.25
GaussianNB,overall_accuracy_equality,1,28,0.04255201078069168,0.6219712538301564,0.25
GaussianNB,overall_accuracy_equality,1,29,0.10990704257368517,0.6065334718877773,0.25
GaussianNB,overall_accuracy_equality,1,30,0.07525042340696061,0.6003998251089113,0.0
GaussianNB,overall_accuracy_equality,1,31,0.11904044671921209,0.5822475767054045,0.0
GaussianNB,overall_accuracy_equality,1,32,0.09181871599797062,0.6185476321527391,0.25
GaussianNB,overall_accuracy_equality,1,33,0.11665005417926447,0.5995136683973356,0.25
GaussianNB,overall_accuracy_equality,1,34,0.07056579306579307,0.6006878383538408,0.5
GaussianNB,overall_accuracy_equality,1,35,0.10654205634182749,0.5975936306145915,0.25
GaussianNB,overall_accuracy_equality,1,36,0.042541960712923196,0.5926283781090892,0.5
GaussianNB,overall_accuracy_equality,1,37,0.07780659988993321,0.597620497626073,0.0
GaussianNB,overall_accuracy_equality,1,38,0.05248712814645304,0.5824318820797328,0.25
GaussianNB,overall_accuracy_equality,1,39,0.10064212407414161,0.6168234348266889,0.5
